@RELATION frequency
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE frequency NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE differences NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE ca2 NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE dose NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE l NUMERIC
@ATTRIBUTE glucose NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE positive NUMERIC
@ATTRIBUTE stimulation NUMERIC
@ATTRIBUTE subjects NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE dependent NUMERIC
@ATTRIBUTE mutation NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE examined NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE years NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE neurons NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE reported NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE h NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE hz NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE greater NUMERIC
@ATTRIBUTE children NUMERIC
@ATTRIBUTE noise NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE function NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE mice NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE they NUMERIC
@ATTRIBUTE type NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE non NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE decreased NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE number NUMERIC
@ATTRIBUTE suggest NUMERIC
@ATTRIBUTE mg NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE could NUMERIC
@ATTRIBUTE obtained NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE modulation NUMERIC
@ATTRIBUTE difference NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE resistance NUMERIC
@ATTRIBUTE frequencies NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE reduction NUMERIC
@ATTRIBUTE increasing NUMERIC
@ATTRIBUTE days NUMERIC
@ATTRIBUTE kg NUMERIC
@ATTRIBUTE findings NUMERIC
@ATTRIBUTE whereas NUMERIC
@ATTRIBUTE enteral NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE incidence NUMERIC
@ATTRIBUTE chronic NUMERIC
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE continuous NUMERIC
@ATTRIBUTE exposure NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE factor NUMERIC
@ATTRIBUTE either NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE amplitude NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE negative NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE failure NUMERIC
@ATTRIBUTE cerebral NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE microg NUMERIC
@ATTRIBUTE contrast NUMERIC
@ATTRIBUTE due NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE women NUMERIC
@ATTRIBUTE life NUMERIC
@ATTRIBUTE light NUMERIC
@ATTRIBUTE ml NUMERIC
@ATTRIBUTE body NUMERIC
@ATTRIBUTE up NUMERIC
@ATTRIBUTE determine NUMERIC
@ATTRIBUTE heart NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE 200 NUMERIC
@ATTRIBUTE studied NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE present NUMERIC
@ATTRIBUTE least NUMERIC
@ATTRIBUTE acute NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE association NUMERIC
@ATTRIBUTE spectral NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE before NUMERIC
@ATTRIBUTE s NUMERIC
@ATTRIBUTE under NUMERIC
@ATTRIBUTE p53 NUMERIC
@ATTRIBUTE liver NUMERIC
@ATTRIBUTE intake NUMERIC
@ATTRIBUTE reduce NUMERIC
@ATTRIBUTE relative NUMERIC
@ATTRIBUTE test NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE while NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE mcmv NUMERIC
@ATTRIBUTE linear NUMERIC
@ATTRIBUTE nn NUMERIC
@ATTRIBUTE level NUMERIC
@ATTRIBUTE concentration NUMERIC
@ATTRIBUTE per NUMERIC
@ATTRIBUTE temporal NUMERIC
@ATTRIBUTE human NUMERIC
@ATTRIBUTE single NUMERIC
@ATTRIBUTE primary NUMERIC
@ATTRIBUTE four NUMERIC
@ATTRIBUTE mt NUMERIC
@ATTRIBUTE aa NUMERIC
@ATTRIBUTE systolic NUMERIC
@ATTRIBUTE uterine NUMERIC
@ATTRIBUTE sensitivity NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE five NUMERIC
@ATTRIBUTE model NUMERIC
@ATTRIBUTE activation NUMERIC
@ATTRIBUTE ci NUMERIC
@ATTRIBUTE assessed NUMERIC
@ATTRIBUTE insulin NUMERIC
@ATTRIBUTE chest NUMERIC
@ATTRIBUTE groups NUMERIC
@ATTRIBUTE responses NUMERIC
@ATTRIBUTE gene NUMERIC
@ATTRIBUTE cm NUMERIC
@ATTRIBUTE d NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE history NUMERIC
@ATTRIBUTE versus NUMERIC
@ATTRIBUTE microm NUMERIC
@ATTRIBUTE through NUMERIC
@ATTRIBUTE burst NUMERIC
@ATTRIBUTE indicate NUMERIC
@ATTRIBUTE determined NUMERIC
@ATTRIBUTE myocardial NUMERIC
@ATTRIBUTE assay NUMERIC
@ATTRIBUTE coumarin NUMERIC
@ATTRIBUTE whether NUMERIC
@ATTRIBUTE performed NUMERIC
@ATTRIBUTE current NUMERIC
@ATTRIBUTE 25 NUMERIC
@ATTRIBUTE oscillations NUMERIC
@ATTRIBUTE performance NUMERIC
@ATTRIBUTE involved NUMERIC
@ATTRIBUTE hospital NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE severity NUMERIC
@ATTRIBUTE consistent NUMERIC
@ATTRIBUTE approximately NUMERIC
@ATTRIBUTE modulated NUMERIC
@ATTRIBUTE population NUMERIC
@ATTRIBUTE resonance NUMERIC
@ATTRIBUTE thresholds NUMERIC
@ATTRIBUTE independent NUMERIC
@ATTRIBUTE potential NUMERIC
@ATTRIBUTE any NUMERIC
@ATTRIBUTE containing NUMERIC
@ATTRIBUTE mode NUMERIC
@ATTRIBUTE tidal NUMERIC
@ATTRIBUTE relationships NUMERIC
@ATTRIBUTE oral NUMERIC
@ATTRIBUTE structured NUMERIC
@ATTRIBUTE mutant NUMERIC
@ATTRIBUTE included NUMERIC
@ATTRIBUTE toxaphene NUMERIC
@ATTRIBUTE presence NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE within NUMERIC
@ATTRIBUTE b1 NUMERIC
@ATTRIBUTE caffeine NUMERIC
@ATTRIBUTE stimuli NUMERIC
@ATTRIBUTE information NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE reduced NUMERIC
@ATTRIBUTE relationship NUMERIC
@ATTRIBUTE cocaine NUMERIC
@ATTRIBUTE context NUMERIC
@ATTRIBUTE hours NUMERIC
@ATTRIBUTE misoprostol NUMERIC
@ATTRIBUTE chain NUMERIC
@ATTRIBUTE several NUMERIC
@ATTRIBUTE sfas NUMERIC
@ATTRIBUTE near NUMERIC
@ATTRIBUTE relaxation NUMERIC
@ATTRIBUTE brain NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE catheter NUMERIC
@ATTRIBUTE death NUMERIC
@ATTRIBUTE respiratory NUMERIC
@ATTRIBUTE feeding NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE conditions NUMERIC
@ATTRIBUTE aflatoxin NUMERIC
@ATTRIBUTE free NUMERIC
@ATTRIBUTE pain NUMERIC
@ATTRIBUTE dpa1 NUMERIC
@ATTRIBUTE power NUMERIC
@ATTRIBUTE spontaneous NUMERIC
@ATTRIBUTE spectrum NUMERIC
@ATTRIBUTE radiation NUMERIC
@ATTRIBUTE mn NUMERIC
@ATTRIBUTE psp NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M1 % 9690710
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9500900
1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9692943
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9559614
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9507918
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9695248
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9451573
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9713530
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9556301
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9484865
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9676145
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9701191
